Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Longitude,Latitude
1011101,Stülerstraße,5.78,8.22,21.27,mittel,13.3489923,52.507998
1011103,Lützowstraße,7.82,18.32,41.55,mittel,13.3654238,52.5031297
1011104,Körnerstraße,7.54,22.05,49.69,mittel,13.4085413,52.5916493
1011105,Nördlicher Landwehrkanal,2.71,2.01,4.26,hoch,0,0
1011201,Wilhelmstraße,5.07,8.27,28.1,mittel,13.3829198,52.5123969
1011202,Unter den Linden Nord,2.63,1.2,0.0,hoch,0,0
1011203,Unter den Linden Süd,3.13,3.33,8.51,hoch,0,0
1011204,Leipziger Straße,5.29,6.76,25.14,mittel,13.3815206,52.509845
1011301,Charitéviertel,3.09,3.31,4.75,hoch,0,0
1011302,Oranienburger Straße,4.8,6.42,12.07,mittel,13.3930145,52.5252246
1011303,Alexanderplatzviertel,6.36,9.1,22.13,mittel,0,0
1011304,Karl-Marx-Allee,7.61,12.84,39.9,mittel,13.4306593,52.5181031
1011305,Heine-Viertel West,4.85,7.56,25.32,mittel,0,0
1011306,Heine-Viertel Ost,6.53,8.72,27.61,mittel,0,0
1011401,Invalidenstraße,4.35,5.19,8.44,hoch,13.3792191,52.5294381
1011402,Arkonaplatz,4.46,3.93,5.09,hoch,13.4006057,52.5371794
1022101,Huttenkiez,11.28,23.33,64.31,niedrig,0,0
1022102,Beusselkiez,11.68,24.88,59.95,niedrig,0,0
1022104,Emdener Straße,9.97,19.01,48.67,mittel,13.3340575,52.5300319
1022105,Zwinglistraße,9.97,24.86,65.72,niedrig,13.3289677,52.5257112
1022106,Elberfelder Straße,6.65,10.99,19.99,mittel,13.3362901,52.5250804
1022201,Stephankiez,8.57,17.68,42.53,mittel,0,0
1022202,Heidestraße,13.41,28.45,50.94,niedrig,13.6102075,52.4800101
1022203,Lübecker Straße,10.73,25.51,55.17,niedrig,13.6405239,52.5251996
1022204,Thomasiusstraße,6.77,11.28,21.35,mittel,13.3499342,52.521699
1022205,Zillesiedlung,9.58,25.13,45.12,mittel,13.359607130853423,52.52541665
1022206,Lüneburger Straße,6.62,13.17,25.9,mittel,13.3602159,52.5214378
1022207,Hansaviertel,5.72,9.51,25.56,mittel,13.3418725,52.5191234
1033101,Soldiner Straße,13.25,31.79,68.88,sehr niedrig,13.3771804,52.5607631
1033102,Gesundbrunnen,11.23,28.53,64.12,niedrig,13.3900758,52.5491748
1033201,Brunnenstraße,12.13,32.84,63.0,sehr niedrig,13.389751,52.5462377
1033202,Humboldthain Süd,10.85,23.64,54.92,niedrig,0,0
1033203,Humboldthain Nordwest,12.69,31.8,69.17,sehr niedrig,0,0
1044101,Rehberge,10.83,20.84,53.79,niedrig,13.3409843,52.5566893
1044102,Schillerpark,10.41,18.43,52.51,mittel,13.347496701791723,52.5584433
1044103,Westliche Müllerstraße,10.29,19.03,52.02,mittel,0,0
1044201,Reinickendorfer Straße,13.66,32.45,72.09,sehr niedrig,13.3702888,52.5400429
1044202,Sparrplatz,10.22,20.64,57.92,niedrig,13.360528411881038,52.541870900000006
1044203,Leopoldplatz,12.36,27.87,66.23,sehr niedrig,13.3591672,52.5463833
2010101,Askanischer Platz,12.13,26.88,59.57,sehr niedrig,13.381976317642579,52.504169950000005
2010102,Mehringplatz,14.4,33.66,64.43,sehr niedrig,13.391776599059298,52.49890495
2010103,Moritzplatz,16.69,36.77,72.12,sehr niedrig,13.4107479,52.5036623
2010104,Wassertorplatz,13.4,35.69,70.52,sehr niedrig,13.4128525,52.4985187
2020202,Rathaus Yorckstraße,7.74,13.38,24.28,mittel,13.38552,52.4936179
2020203,Viktoriapark,6.83,11.49,24.02,mittel,13.380812282292329,52.48746645
2020204,Urbanstraße,6.93,12.45,25.63,mittel,13.4205118,52.4896141
2020205,Chamissokiez,7.16,12.26,23.94,mittel,0,0
2020206,Graefekiez,8.43,17.12,36.33,mittel,13.411789031904522,52.4899652
2030301,Oranienplatz,12.07,29.1,57.7,sehr niedrig,13.41571442375585,52.5022391
2030302,Lausitzer Platz,10.97,23.36,46.31,niedrig,13.430793046014493,52.50018255
2030401,Reichenberger Straße,9.2,18.37,39.81,mittel,13.4382843,52.4932039
2030402,Wrangelkiez,8.99,17.54,38.11,mittel,13.4395831,52.4994382
2040501,Barnimkiez,9.62,13.55,42.52,mittel,13.4250661,52.5256199
2040502,Friedenstraße,7.34,10.27,30.78,mittel,13.4356152,52.5219164
2040503,Richard-Sorge-Viertel,5.64,7.22,15.07,mittel,0,0
2040701,Andreasviertel,7.13,13.69,44.24,mittel,0,0
2040702,Weberwiese,6.17,7.51,14.5,mittel,13.4447135,52.5167465
2040703,Wriezener Bahnhof/Entwicklungsgebiet,7.76,22.92,57.14,mittel,0,0
