Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Latitude,Longitude
1011101,Stülerstraße,4.98,8.16,20.51,mittel,52.5074059,13.3482254
1011103,Lützowstraße,6.83,17.74,34.33,mittel,52.5055283,13.3537182
1011104,Körnerstraße,6.27,20.66,45.91,mittel,52.5015532,13.3672204
1011105,Nördlicher Landwehrkanal,2.06,1.50,3.55,hoch,0,0
1011201,Wilhelmstraße,3.64,8.45,27.31,mittel,52.5123969,13.3829198
1011202,Unter den Linden Nord,1.97,1.81,6.67,hoch,0,0
1011203,Unter den Linden Süd,3.98,3.59,10.34,mittel,0,0
1011204,Leipziger Straße,3.91,7.20,21.34,mittel,52.509845,13.3815206
1011301,Charitéviertel,2.57,3.23,5.06,hoch,0,0
1011302,Oranienburger Straße,3.99,6.11,11.24,mittel,52.5252246,13.3930145
1011303,Alexanderplatzviertel,5.18,8.62,20.49,mittel,0,0
1011304,Karl-Marx-Allee,6.40,13.56,42.32,mittel,52.5220305,13.4167742
1011305,Heine-Viertel West,4.54,7.19,20.30,mittel,0,0
1011306,Heine-Viertel Ost,5.04,8.21,21.77,mittel,0,0
1011401,Invalidenstraße,3.45,4.75,7.27,hoch,52.5294381,13.3792191
1011402,Arkonaplatz,3.57,3.33,3.96,hoch,52.5378498,13.4029341
1022101,Huttenkiez,12.80,27.29,68.17,sehr niedrig,0,0
1022102,Beusselkiez,10.85,24.65,57.12,sehr niedrig,0,0
1022104,Emdener Straße,7.79,18.49,43.62,mittel,52.5300319,13.3340575
1022105,Zwinglistraße,8.87,23.87,58.13,niedrig,52.5254825,13.3341492
1022106,Elberfelder Straße,4.87,9.56,16.25,mittel,52.5213311,13.3358695
1022201,Stephankiez,6.41,17.32,36.44,mittel,0,0
1022202,Heidestraße,10.32,28.90,51.56,sehr niedrig,52.4798474,13.6119102
1022203,Lübecker Straße,9.28,26.20,54.53,niedrig,52.5282755,13.6349799
1022204,Thomasiusstraße,5.56,11.23,20.84,mittel,52.521699,13.3499342
1022205,Zillesiedlung,9.43,25.04,37.46,mittel,52.52541665,13.359607130853423
1022206,Lüneburger Straße,5.20,11.03,18.54,mittel,52.5198328,13.3564326
1022207,Hansaviertel,3.48,8.45,17.60,mittel,52.5191234,13.3418725
1033101,Soldiner Straße,10.65,32.68,68.80,sehr niedrig,52.5607834,13.3787332
1033102,Gesundbrunnen,9.14,29.18,64.27,niedrig,52.5491748,13.3900758
1033201,Brunnenstraße,9.83,31.67,58.60,sehr niedrig,52.5299026,13.4011672
1033202,Humboldthain Süd,8.84,23.97,50.97,niedrig,0,0
1033203,Humboldthain Nordwest,10.56,31.90,68.81,sehr niedrig,0,0
1044101,Rehberge,8.68,21.07,52.69,niedrig,52.5566893,13.3409843
1044102,Schillerpark,8.06,18.99,51.49,mittel,52.5584433,13.347496701791723
1044103,Westliche Müllerstraße,8.85,20.51,51.43,niedrig,0,0
1044201,Reinickendorfer Straße,10.80,32.44,70.31,sehr niedrig,52.5400429,13.3702888
1044202,Sparrplatz,8.79,21.34,56.02,niedrig,52.541870900000006,13.360528411881038
1044203,Leopoldplatz,10.28,28.85,64.73,sehr niedrig,52.5463833,13.3591672
2010101,Askanischer Platz,9.27,24.76,44.43,niedrig,52.504169950000005,13.381976317642579
2010102,Mehringplatz,11.78,32.47,61.58,sehr niedrig,52.49890495,13.391776599059298
2010103,Moritzplatz,13.04,35.03,66.17,sehr niedrig,52.5036623,13.4107479
2010104,Wassertorplatz,11.77,34.75,67.48,sehr niedrig,52.4985187,13.4128525
2020201,Gleisdreieck/Entwicklungsgebiet,2.81,3.62,7.28,hoch,0,0
2020202,Rathaus Yorckstraße,6.44,13.49,24.50,mittel,52.493863950000005,13.386396109576971
2020203,Viktoriapark,5.42,10.96,20.84,mittel,52.48746645,13.380812282292329
2020204,Urbanstraße,5.61,12.32,21.72,mittel,52.4880584,13.4249037
2020205,Chamissokiez,5.63,11.52,20.89,mittel,0,0
2020206,Graefekiez,7.16,16.64,30.37,mittel,52.4899652,13.411789031904522
2030301,Oranienplatz,10.57,27.87,53.69,sehr niedrig,52.5022391,13.41571442375585
2030302,Lausitzer Platz,8.93,21.87,40.74,mittel,52.50018255,13.430793046014493
2030401,Reichenberger Straße,7.31,17.90,34.73,mittel,52.4932039,13.4382843
2030402,Wrangelkiez,7.47,17.37,30.93,mittel,52.4994382,13.4395831
2040501,Barnimkiez,7.66,13.03,35.02,mittel,52.5256199,13.4250661
2040502,Friedenstraße,5.92,9.72,26.22,mittel,52.5216712,13.4358831
2040503,Richard-Sorge-Viertel,4.87,7.76,16.21,mittel,0,0
2040701,Andreasviertel,5.90,13.86,40.50,mittel,0,0
2040702,Weberwiese,5.22,6.48,10.63,mittel,52.5167465,13.4447135
2040703,Wriezener Bahnhof/Entwicklungsgebiet,7.24,23.41,66.67,mittel,0,0
2050601,Hausburgviertel,6.38,10.02,18.71,mittel,52.5246139,13.4530257
2050602,Samariterviertel,5.55,9.36,14.72,mittel,52.5172826,13.4655019
2050801,Traveplatz,6.27,12.04,23.65,mittel,52.5108664,13.470170096254137
2050802,Boxhagener Platz,5.00,7.32,11.17,mittel,52.5108076,13.459702997395421
2050803,Stralauer Kiez,6.29,9.63,20.97,mittel,0,0
2050804,Stralauer Halbinsel,2.85,3.07,2.51,hoch,0,0
3010101,Bucher Forst,5.64,9.11,16.05,mittel,52.64417125,13.48306503062641
3010102,Buch,7.92,16.49,41.03,mittel,52.6366724,13.4999292
3020203,Blankenfelde,4.77,3.83,7.51,mittel,52.6186272,13.3884468
