Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Geesamtindex,Latitude,Longitude
1011101,Stülerstraße,2.80,7.65,15.44,mittel,52.507998,13.3489923
1011103,Lützowstraße,4.43,17.69,37.50,mittel,52.5031297,13.3654238
1011104,Körnerstraße,4.95,18.72,42.60,mittel,52.5916493,13.4085413
1011105,Nördlicher Landwehrkanal,0.58,2.18,3.53,hoch,0,0
1011201,Wilhelmstraße,2.39,7.98,19.03,mittel,52.5123969,13.3829198
1011202,Unter den Linden Nord,1.26,1.58,11.11,hoch,0,0
1011203,Unter den Linden Süd,1.80,4.39,6.25,mittel,0,0
1011204,Leipziger Straße,2.05,7.20,20.36,mittel,52.509845,13.3815206
1011301,Charitéviertel,0.96,2.69,4.27,hoch,0,0
1011302,Oranienburger Straße,2.04,5.85,11.10,mittel,52.5252246,13.3930145
1011303,Alexanderplatzviertel,3.13,8.18,19.96,mittel,0,0
1011304,Karl-Marx-Allee,4.51,13.17,37.41,mittel,52.5181031,13.4306593
1011305,Heine-Viertel West,2.42,6.02,17.00,mittel,0,0
1011306,Heine-Viertel Ost,2.16,6.45,15.70,mittel,0,0
1011401,Invalidenstraße,1.44,4.60,7.85,mittel,52.5294381,13.3792191
1011402,Arkonaplatz,1.18,3.26,3.71,hoch,52.5371794,13.4006057
1022101,Huttenkiez,6.65,24.01,67.95,sehr niedrig,0,0
1022102,Beusselkiez,6.24,22.03,52.92,niedrig,0,0
1022104,Emdener Straße,5.01,17.53,41.12,mittel,52.5300319,13.3340575
1022105,Zwinglistraße,5.56,22.23,51.68,niedrig,52.5257112,13.3289677
1022106,Elberfelder Straße,3.08,8.90,16.53,mittel,52.5250804,13.3362901
1022201,Stephankiez,4.02,15.64,34.06,mittel,0,0
1022202,Heidestraße,5.09,16.71,33.33,mittel,52.4800101,13.6102075
1022203,Lübecker Straße,6.79,25.30,50.04,niedrig,52.5251996,13.6405239
1022204,Thomasiusstraße,2.39,9.12,13.83,mittel,52.521699,13.3499342
1022205,Zillesiedlung,6.72,25.89,37.44,niedrig,52.52541665,13.359607130853423
1022206,Lüneburger Straße,3.42,9.03,14.33,mittel,52.5214378,13.3602159
1022207,Hansaviertel,2.35,7.28,14.65,mittel,52.5191234,13.3418725
1033101,Soldiner Straße,8.26,31.43,66.10,sehr niedrig,52.5607631,13.3771804
1033102,Gesundbrunnen,6.39,25.51,55.27,sehr niedrig,52.5491748,13.3900758
1033201,Brunnenstraße,7.10,30.28,55.37,sehr niedrig,52.5462377,13.389751
1033202,Humboldthain Süd,5.50,22.03,46.58,niedrig,0,0
1033203,Humboldthain Nordwest,7.66,28.97,61.90,sehr niedrig,0,0
1044101,Rehberge,5.88,19.54,49.09,niedrig,52.5566893,13.3409843
1044102,Schillerpark,5.52,18.70,46.59,mittel,52.5584433,13.347496701791723
1044103,Westliche Müllerstraße,5.58,20.05,54.31,niedrig,0,0
1044201,Reinickendorfer Straße,7.73,29.95,65.26,sehr niedrig,52.5400429,13.3702888
1044202,Sparrplatz,5.71,20.03,51.03,niedrig,52.541870900000006,13.360528411881038
1044203,Leopoldplatz,7.62,27.08,59.54,sehr niedrig,52.5463833,13.3591672
2010101,Askanischer Platz,6.09,21.13,40.23,niedrig,52.504169950000005,13.381976317642579
2010102,Mehringplatz,8.25,28.58,52.34,sehr niedrig,52.49890495,13.391776599059298
2010103,Moritzplatz,10.51,31.22,60.50,sehr niedrig,52.5036623,13.4107479
2010104,Wassertorplatz,9.12,31.36,60.05,sehr niedrig,52.4985187,13.4128525
2020201,Gleisdreieck/Entwicklungsgebiet,0.91,3.30,6.45,hoch,0,0
2020202,Rathaus Yorckstraße,4.39,13.76,27.64,mittel,52.4936179,13.38552
2020203,Viktoriapark,3.33,9.47,17.78,mittel,52.48746645,13.380812282292329
2020204,Urbanstraße,3.45,10.95,19.97,mittel,52.4896141,13.4205118
2020205,Chamissokiez,3.38,10.21,19.04,mittel,0,0
2020206,Graefekiez,4.56,15.29,27.54,mittel,52.4899652,13.411789031904522
2030301,Oranienplatz,7.66,24.42,50.26,sehr niedrig,52.5022391,13.41571442375585
2030302,Lausitzer Platz,5.87,19.55,34.27,mittel,52.50018255,13.430793046014493
2030401,Reichenberger Straße,4.90,15.34,28.79,mittel,52.4932039,13.4382843
2030402,Wrangelkiez,5.02,14.01,24.30,mittel,52.4994382,13.4395831
2040501,Barnimkiez,5.21,12.80,36.69,mittel,52.5256199,13.4250661
2040502,Friedenstraße,2.88,9.74,24.00,mittel,52.5219164,13.4356152
2040503,Richard-Sorge-Viertel,2.66,6.90,13.98,mittel,0,0
2040701,Andreasviertel,4.58,13.77,39.53,mittel,0,0
2040702,Weberwiese,2.47,5.82,8.65,mittel,52.5167465,13.4447135
2040703,Wriezener Bahnhof/Entwicklungsgebiet,5.40,20.95,58.54,niedrig,0,0
2050601,Hausburgviertel,3.88,9.03,17.47,mittel,52.5246139,13.4530257
2050602,Samariterviertel,3.19,8.27,13.44,mittel,52.5172826,13.4655019
2050801,Traveplatz,4.15,11.12,23.43,mittel,52.5108664,13.470170096254137
2050802,Boxhagener Platz,2.75,6.37,12.05,mittel,52.5108076,13.459702997395421
2050803,Stralauer Kiez,3.09,8.34,18.81,mittel,0,0
2050804,Stralauer Halbinsel,1.24,2.58,2.81,hoch,0,0
3010101,Bucher Forst,4.68,8.57,13.05,mittel,52.6436803,13.4763274
3010102,Buch,5.83,15.16,33.49,mittel,52.6366724,13.4999292
3020203,Blankenfelde,1.38,3.68,5.57,hoch,52.6186272,13.3884468
3020209,Niederschönhausen,1.85,4.50,6.78,mittel,52.5858062,13.401397
3020210,Herthaplatz,2.37,6.30,11.11,mittel,52.5846986,13.4095706
3020307,Buchholz,1.50,5.56,10.12,mittel,52.6105131,13.4281104
3030405,Karow Nord,2.73,10.18,21.10,mittel,52.6169054,13.4900721
3030406,Alt-Karow,0.80,2.33,2.94,hoch,52.6157138,13.4856769
3030711,Blankenburg,0.95,1.57,1.96,hoch,52.593211,13.4541825
3030715,Heinersdorf,1.89,4.65,7.74,mittel,52.5728248,13.4370149
3030716,Märchenland,0.92,2.30,6.40,hoch,52.4885,13.4542465
3040508,Rosenthal,1.36,3.53,5.93,hoch,52.5983189,13.3755194
3040512,Wilhelmsruh,2.05,4.31,9.39,mittel,52.5880115,13.3622059
3040513,Schönholz,1.59,2.98,3.36,hoch,52.5715004,13.3809904
3040614,Pankow Zentrum,2.54,6.49,9.60,mittel,0,0
3040818,Pankow Süd,2.79,7.08,12.55,mittel,52.55739095,13.460076525798193
3050919,Gustav-Adolf-Straße,4.78,13.06,29.16,mittel,52.5570725,13.4426286
3050920,Weißer See,2.66,6.58,10.07,mittel,52.55407615,13.46342608088942
3050923,Weißenseer Spitze,3.09,7.99,11.61,mittel,0,0
3050924,Behaimstraße,4.48,10.05,14.83,mittel,52.5491634,13.4455249
3050925,Komponistenviertel Weißensee,3.32,8.28,13.89,mittel,52.5483207,13.4576533
3051017,Rennbahnstraße,4.26,9.41,18.62,mittel,52.56098,13.4571644
3051021,Buschallee,4.12,10.22,26.58,mittel,52.5537668,13.4681842
3051022,Hansastraße,2.71,9.29,25.88,mittel,52.5614103,13.5002976
3061126,Arnimplatz,2.75,6.58,9.24,mittel,52.5517551,13.409449419572233
3061131,Falkplatz,2.21,4.69,5.94,mittel,52.5458619,13.403701893218535
3061227,Humannplatz,2.03,4.92,6.58,mittel,52.549074000000005,13.422295698381111
3061228,Erich-Weinert-Straße,3.20,9.26,20.90,mittel,52.5505998,13.420502
3061332,Helmholtzplatz,2.55,5.95,7.21,mittel,52.5430211,13.419032624098314
3061429,Greifswalder Straße,5.32,11.42,37.11,mittel,52.5402462,13.4389887
3061430,Volkspark Prenzlauer Berg,9.05,19.00,35.33,niedrig,52.53578855,13.463217379890311
3061434,Anton-Saefkow-Park,3.04,7.54,8.50,mittel,52.537401599999995,13.44011188411454
3061435,Conrad-Blenkle-Straße,4.40,11.16,27.29,mittel,52.5334107,13.4441609
3061441,Eldenaer Straße,0.30,0.94,0.64,hoch,52.5199217,13.46384
3071536,Teutoburger Platz,1.87,4.48,7.21,mittel,52.532075500000005,13.408906124254809
3071537,Kollwitzplatz,1.87,4.01,4.12,hoch,52.536053800000005,13.41704224983837
3071633,Thälmannpark,5.10,12.60,19.77,mittel,0,0
3071638,Winsstraße,2.04,4.74,6.67,mittel,52.5374188,13.4286022
3071639,Bötzowstraße,2.25,4.60,5.19,mittel,52.5340868,13.4374025
4010101,Jungfernheide,6.84,18.88,47.53,niedrig,52.5304034,13.299269
4010102,Plötzensee,7.49,18.23,77.00,sehr niedrig,52.54425365,13.329969221902985
4010103,Paul-Hertz-Siedlung,8.85,26.63,52.88,sehr niedrig,0,0
4020205,Siedlung Ruhleben,1.70,2.41,7.33,hoch,52.5227766,13.239081516621066
4020206,Angerburger Allee,2.36,4.64,13.58,mittel,52.5078703,13.227873
4020207,Flatowallee,1.44,3.28,7.64,hoch,52.5114137,13.2407032
4020208,Kranzallee,1.41,3.76,4.81,hoch,52.5054923,13.234368
4020209,Eichkamp,0.51,1.28,3.76,hoch,52.4986377,13.2702326
4020310,Park Ruhwald,2.46,6.17,48.28,mittel,52.5224279,13.2550517
4020311,Reichsstraße,2.16,5.06,9.49,mittel,52.5163323,13.2608746
4020312,Branitzer Platz,2.00,5.10,7.51,mittel,52.516136700000004,13.271090730521255
4020313,Königin-Elisabeth-Straße,2.77,8.25,20.54,mittel,52.5126223,13.2815698
4030415,Schloßgarten,6.02,17.36,34.06,mittel,52.52446755,13.293333074897546
4030416,Klausenerplatz,4.07,14.78,27.33,mittel,52.5185876,13.2925196
4030417,Schloßstraße,3.01,9.21,18.05,mittel,52.461481,13.3250946
4030518,Tegeler Weg,4.56,12.20,28.63,mittel,52.5264142,13.2974225
4030519,Kaiserin-Augusta-Allee,4.55,13.10,33.92,mittel,52.5257862,13.3159304
4030620,Alt-Lietzow,3.54,10.13,22.39,mittel,52.5180587,13.3137352
4030621,Spreestadt,4.02,12.86,29.77,mittel,0,0
4030622,Richard-Wagner-Straße,3.99,12.32,23.49,mittel,52.516801,13.3067073
4030623,Ernst-Reuter-Platz,4.44,13.31,24.87,mittel,52.5118853,13.3221613
4030724,Lietzensee,3.16,7.95,13.25,mittel,52.50642345,13.288045461967833
4030725,Amtsgerichtsplatz,2.29,7.53,17.82,mittel,52.5065043,13.295403761000003
4030726,Droysenstraße,3.21,9.16,24.81,mittel,52.5017965,13.3005886
4030827,Karl-August-Platz,3.73,10.76,22.96,mittel,52.508347549999996,13.310969968382535
4030828,Savignyplatz,2.35,6.22,14.03,mittel,52.5051746,13.3190659
