Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbezieher unter 15,Gesamtindex,Latitude,Longitude
1100101,Stülerstraße,4.22594,8.04329,19.39799,mittel,0,0
1100102,Großer Tiergarten,1.15858,3.46175,8.33333,hoch,52.51630265,13.361818860539982
1100103,Lützowstraße,5.31544,15.52485,32.63158,mittel,52.5026025,13.3677584
1100104,Körnerstraße,6.18102,18.01122,39.93994,mittel,52.5916493,13.4085413
1100205,Wilhelmstraße,2.8826,6.33502,19.75806,mittel,52.516772,13.3806961
1100206,Unter den Linden,2.15613,4.93622,12.90323,mittel,52.5172825,13.3908938
1100207,Leipziger Straße,2.76734,6.641,18.89503,mittel,52.5102124,13.3876513
1100308,Charitéviertel,1.37665,2.61232,4.71807,hoch,0,0
1100309,Oranienburger Straße,2.93421,6.33905,12.83743,mittel,52.5252246,13.3930145
1100310,Alexanderplatzviertel,3.87555,8.23993,20.45908,mittel,0,0
1100311,Karl-Marx-Allee,6.76912,12.84811,38.72679,mittel,0,0
1100312,Heine-Viertel West,3.08821,5.45532,13.89699,mittel,0,0
1100313,Heine-Viertel Ost,2.85963,6.2529,16.22074,mittel,0,0
1100414,Nordbahnhof,1.88818,4.21012,9.42285,mittel,52.5322749,13.3878392
1100415,Invalidenstraße,2.05154,4.47074,7.09894,mittel,52.5306356,13.3833444
1100416,Arkonaplatz,2.08215,3.56319,5.6926,hoch,52.5378498,13.4029341
1200517,Huttenkiez,8.45687,21.90604,58.70021,sehr niedrig,0,0
1200518,Beusselkiez,7.92151,19.37081,51.0828,niedrig,0,0
1200519,Emdener Straße,7.66146,16.34626,41.85149,mittel,52.5300319,13.3340575
1200520,Bremer Straße,6.11907,13.57999,31.25573,mittel,52.5234037,13.6378124
1200521,Zwinglistraße,7.64647,20.66858,51.39912,niedrig,52.5257112,13.3289677
1200522,Elberfelder Straße,3.64283,7.55316,13.63272,mittel,52.5204837,13.3356417
1200623,Stephankiez,5.70825,13.69053,28.66521,mittel,0,0
1200624,Heidestraße,3.53391,9.34724,21.7033,mittel,52.4800101,13.6102075
1200625,Lübecker Straße,9.47838,22.19037,47.30769,sehr niedrig,52.5282755,13.6349799
1200626,Thomasiusstraße,3.40485,8.34035,16.69107,mittel,52.5242116,13.3509015
1200627,Zillesiedlung,11.22497,25.73171,46.27575,sehr niedrig,52.52541665,13.359607130853423
1200628,Lüneburger Straße,2.97114,8.42912,13.39286,mittel,52.5214378,13.3602159
1200629,Hansaviertel,2.6405,6.73325,14.08776,mittel,52.5191234,13.3418725
1300730,Drontheimer Straße,12.874,29.88564,65.31184,sehr niedrig,52.5589161,13.3769475
1300731,Koloniestraße,10.63864,26.28438,61.98347,sehr niedrig,52.5616655,13.3814328
1300732,Soldiner Straße,10.81823,27.62425,61.62034,sehr niedrig,52.5607834,13.3787332
1300733,Gesundbrunnen,9.30286,23.87484,55.9633,sehr niedrig,52.5491748,13.3900758
1300834,Brunnenstraße,10.46059,27.34447,52.3088,sehr niedrig,52.5462377,13.389751
1300835,Humboldthain Süd,7.65557,20.09001,44.77887,niedrig,0,0
1300836,Humboldthain Nordwest,10.68295,26.0831,61.47578,sehr niedrig,0,0
1400937,Afrikanische Straße,8.06597,17.39171,42.90008,niedrig,52.5602382,13.3346178
1400938,Kameruner Straße,7.75226,17.52185,46.3353,niedrig,52.5520732,13.3492286
1400939,Glasgower Straße,8.05354,17.58353,45.20918,niedrig,52.5557462,13.3445467
1400940,Schillerpark,7.88804,16.57345,43.34061,mittel,52.5584433,13.347496701791723
1400941,Londoner Straße,7.03448,13.99894,42.34694,mittel,52.5587646,13.3376788
1400942,Westliche Müllerstraße,7.1553,17.14682,47.6828,niedrig,0,0
1401043,Antonstraße,10.77886,26.95439,60.18779,sehr niedrig,52.5461598,13.3620554
1401044,Uferstraße,10.3426,26.24218,62.31884,sehr niedrig,52.5521606,13.3749476
1401045,Schwedenstraße,10.907,27.36805,59.93624,sehr niedrig,52.5569885,13.3735683
1401046,Nordufer,7.05882,14.95274,34.69602,mittel,52.5392552,13.3570542
1401047,Sparrplatz,7.95526,18.91445,51.68651,niedrig,52.541870900000006,13.360528411881038
1401048,Leopoldplatz,8.90001,21.64212,51.91606,sehr niedrig,52.5463833,13.3591672
1401049,Schulstraße,11.32157,26.87995,65.13234,sehr niedrig,52.5116307,13.5514575
2100101,Askanischer Platz,8.42778,21.17497,44.22404,niedrig,52.504169950000005,13.381976317642579
2100102,Mehringplatz,11.04756,27.33896,53.43728,sehr niedrig,52.49890495,13.391776599059298
2100103,Am Berlin Museum,10.45886,25.23226,50.76253,sehr niedrig,52.5028025,13.3968127
2100104,Moritzplatz,12.0437,26.76486,56.93512,sehr niedrig,52.5036623,13.4107479
2100105,Prinzenstraße,12.92965,29.73761,63.83812,sehr niedrig,52.4983972,13.40591
2100106,Wassertorplatz,12.27336,29.34718,61.7207,sehr niedrig,52.4986548,13.4128891
2200207,Gleisdreieck,0.99857,3.0479,6.16622,hoch,52.4995261,13.3740318
2200208,Rathaus Yorckstraße,5.49548,12.38349,24.35424,mittel,52.493863950000005,13.386396109576971
2200209,Viktoriapark,4.11074,8.38727,16.11625,mittel,52.48746645,13.380812282292329
2200210,Urbanstraße,4.63859,10.12597,19.42634,mittel,52.4879169,13.4248656
2200211,Chamissokiez,4.6166,9.85095,17.35107,mittel,0,0
2200212,Graefekiez Süd,7.96134,17.33318,34.8763,mittel,0,0
2200213,Graefekiez Nord,4.83483,11.40607,17.7761,mittel,0,0
2300314,Oranienplatz,10.22903,21.61592,47.93103,sehr niedrig,52.5022391,13.41571442375585
2300315,Lausitzer Platz,8.37658,19.6492,37.23958,niedrig,52.50018255,13.430793046014493
2300316,Köpenicker Straße,6.65615,16.18031,31.96078,mittel,52.5044628,13.4349785
2300417,Reichenberger Straße West,7.66651,16.74374,33.23917,mittel,0,0
2300418,Reichenberger Straße Ost,6.69401,13.46304,23.81974,mittel,0,0
2300419,Wrangelkiez,6.22411,12.94139,24.55043,mittel,52.4994382,13.4395831
2400520,Barnimkiez,7.10692,11.0255,33.33333,mittel,52.5256199,13.4250661
2400521,Friedenstraße,4.36859,8.72996,21.73913,mittel,52.5219164,13.4356152
2400522,Richard-Sorge-Viertel,3.29814,6.55301,13.20631,mittel,0,0
2400623,Andreasviertel,5.78179,13.33133,37.24305,mittel,0,0
2400624,Weberwiese,3.63207,5.88651,10.94891,mittel,52.5167465,13.4447135
2400625,Wriezener Bahnhof,6.00858,17.69366,57.69231,niedrig,52.5112651,13.4410939
2500726,Hausburgviertel,4.72577,9.15262,18.65737,mittel,52.5246139,13.4530257
2500727,Forckenbeckplatz,3.81794,8.45538,14.26844,mittel,52.519636250000005,13.460274995496734
2500728,Samariterviertel,4.34627,7.31032,11.05491,mittel,52.5172826,13.4655019
2500729,Pettenkofer Straße,4.05498,7.53538,12.30398,mittel,52.5139506,13.4734284
2500830,Niederbarnimstraße,4.49129,7.78428,11.40351,mittel,52.5143601,13.459407
2500831,Wismarplatz,4.90996,9.85147,21.14804,mittel,52.511024,13.463123398682766
2500832,Traveplatz,5.45528,11.03266,23.92727,mittel,52.5108664,13.470170096254137
2500833,Boxhagener Platz,3.854,7.08538,17.17557,mittel,52.5108076,13.459702997395421
2500834,Revaler Straße,2.9418,5.73036,9.31877,mittel,52.5079431,13.4544665
2500835,Stralauer Kiez,4.21724,8.07067,18.91026,mittel,0,0
2500836,Stralauer Halbinsel,1.43775,3.48269,3.89064,hoch,0,0
3100101,Bucher Forst,7.94118,8.64637,12.37374,mittel,52.64417125,13.48306503062641
3100102,Klinikum Buch,6.32591,10.67206,25,mittel,52.632014,13.5127115
3100103,Karower Chaussee,7.80798,14.31117,32.92765,mittel,52.6257515,13.4965647
3200204,Blankenfelde,1.8254,2.6725,4.24028,hoch,52.6186272,13.3884468
